course_number,description
AVM 2990.,lective.  (1-4 Hours)
AVM 3000.,aterials Processing.  (3 Hours)
AVM 3100.,ondestructive Testing.  (3 Hours)
AVM 3500.,usiness Operations and Supply Chain.  (3 Hours)
AVM 4100.,echatronics.  (3 Hours)
AVM 4150.,utomation.  (3 Hours)
AVM 4250.,ydraulics and Pneumatics.  (3 Hours)
AVM 4300.,dvanced Manufacturing and Additive Processes.  (3 Hours)
AFAM 1101.,Introduction to African American and Africana Studies.  (4 Hours)
AFAM 1104.,The African-American Experience through Music.  (4 Hours)
AFAM 1113.,Black Popular Culture.  (4 Hours)
AFAM 1135.,John Coltrane and the History of Jazz in the United States.  (4 Hours)
AFAM 1225.,"Gender, Race, and Medicine.  (4 Hours)"
AFAM 1990.,Elective.  (1-4 Hours)
AFAM 2296.,Early African-American Literature.  (4 Hours)
AFAM 2318.,New England Stories: Storytelling and the African American Experience.  (4 Hours)
AFAM 2337.,African American History Before 1900.  (4 Hours)
AFAM 2355.,"Race, Identity, Social Change, and Empowerment.  (4 Hours)"
AFAM 2455.,American Women Writers.  (4 Hours)
AFAM 2600.,"Issues in Race, Science, and Technology.  (4 Hours)"
AFAM 2618.,Community Psychology.  (4 Hours)
AFAM 2619.,Race and Religion in Film.  (4 Hours)
AFAM 2690.,Boston in Literature.  (4 Hours)
AFAM 2990.,Elective.  (1-4 Hours)
AFAM 2991.,Research Practicum.  (2-4 Hours)
AFAM 3120.,"Race, Crime, and Justice.  (4 Hours)"
AFAM 3270.,"Race, Ethnicity, and Inequality.  (4 Hours)"
AFAM 3323.,"Race, Inequality, and the Law.  (4 Hours)"
AFAM 3404.,African American Rhetorical Traditions.  (4 Hours)
AFAM 3664.,Black Poetry and the Spoken Word.  (4 Hours)
AFAM 3990.,Elective.  (1-4 Hours)
AFAM 4526.,Afro-Asian Relations in the Americas.  (4 Hours)
AFAM 4588.,Literature in Context.  (4 Hours)
AFAM 4700.,Capstone.  (4 Hours)
AFAM 4990.,Elective.  (1-4 Hours)
AFAM 4991.,Research.  (4 Hours)
AFAM 5001.,Special Topics in Race and the Law.  (4 Hours)
AFAM 5544.,Seminar in Black Leadership.  (4 Hours)
AFCS 1990.,Elective.  (1-4 Hours)
AFCS 2330.,Afro-Latin American Studies.  (4 Hours)
AFCS 2380.,Black Families and Incarceration.  (4 Hours)
AFCS 2990.,Elective.  (1-4 Hours)
AFCS 3210.,"Black Abolition Studies: Carcerality, Liberation, and Resistance.  (4 Hours)"
AFCS 3990.,Elective.  (1-4 Hours)
AFCS 4990.,Elective.  (1-4 Hours)
AFCS 6962.,Elective.  (1-4 Hours)
AFRS 1101.,Introduction to African Studies.  (4 Hours)
AFRS 1270.,Introduction to Global Health.  (4 Hours)
AFRS 1990.,Elective.  (1-4 Hours)
AFRS 2307.,Africa Today.  (4 Hours)
AFRS 2325.,Black Feminist Studies.  (4 Hours)
AFRS 2392.,African Diaspora.  (4 Hours)
AFRS 2410.,"Possession, Sacrifice, and Divination in African Diasporic Religions.  (4 Hours)"
AFRS 2464.,Natural Resources and Sustainable Development.  (4 Hours)
AFRS 2900.,"Swahili, Culture, and Politics in Kenya.  (4 Hours)"
AFRS 2990.,Elective.  (1-4 Hours)
AFRS 3305.,"Beyond the Binary: Race, Sex, and Science.  (4 Hours)"
AFRS 3424.,Epidemiology of Pandemic Diseases and Health Disparities in the African Diaspora.  (4 Hours)
AFRS 3460.,Contemporary Government and Politics in Africa.  (4 Hours)
AFRS 3900.,Gender and Black World Literatures.  (4 Hours)
AFRS 3990.,Elective.  (1-4 Hours)
AFRS 4939.,"Community Health, Culture, and Development in Kenya.  (4 Hours)"
AFRS 4990.,Elective.  (1-4 Hours)
AFRS 4992.,Directed Study.  (1-4 Hours)
AFRS 6962.,Elective.  (1-4 Hours)
AMSL 1101.,Elementary ASL 1.  (4 Hours)
AMSL 1102.,Elementary ASL 2.  (4 Hours)
AMSL 1511.,ASL Classifiers.  (4 Hours)
AMSL 1990.,Elective.  (1-4 Hours)
AMSL 2101.,Intermediate ASL 1.  (4 Hours)
AMSL 2102.,Intermediate ASL 2.  (4 Hours)
AMSL 2900.,Specialized Instruction in ASL.  (1-4 Hours)
AMSL 2990.,Elective.  (1-4 Hours)
AMSL 3101.,Advanced ASL 1.  (4 Hours)
AMSL 3102.,Advanced ASL 2.  (4 Hours)
AMSL 3990.,Elective.  (1-4 Hours)
AMSL 4990.,Elective.  (1-4 Hours)
AMSL 4992.,Directed Study.  (1-4 Hours)
AMSL 5901.,Gallaudet University Program.  (20 Hours)
ALY 1990.,lective.  (1-4 Hours)
ALY 2010.,robability Theory and Introductory Statistics.  (3 Hours)
ALY 2100.,ntroduction to Programming for Data Analytics.  (3 Hours)
ALY 3015.,ntermediate Statistics for Data Analytics.  (3 Hours)
ALY 3040.,ata Mining.  (3 Hours)
ALY 3070.,ommunication and Visualization for Data Analytics.  (3 Hours)
ALY 3110.,ig Data and Web Mining.  (3 Hours)
ALY 4000.,nalytics Using R.  (3 Hours)
ALY 4020.,redictive Analytics Using R and Python.  (3 Hours)
ALY 4850.,nalytics Capstone.  (3 Hours)
ALY 5000.,ntroduction to Analytics.  (2.25 Hours)
ALY 5010.,robability Theory and Introductory Statistics.  (2.25 Hours)
ALY 5015.,ntermediate Analytics.  (2.25 Hours)
ALY 5030.,ata Warehousing and SQL.  (2.25 Hours)
ALY 5040.,ata Mining Applications.  (2.25 Hours)
ALY 5050.,ntroduction to Enterprise Analytics.  (2.25 Hours)
ALY 5070.,ommunication and Visualization for Data Analytics.  (2.25 Hours)
ALY 5110.,ata Management and Big Data.  (2.25 Hours)
ALY 6000.,ntroduction to Analytics.  (3 Hours)
ALY 6010.,robability Theory and Introductory Statistics.  (3 Hours)
ALY 6015.,ntermediate Analytics.  (3 Hours)
ALY 6020.,redictive Analytics.  (3 Hours)
ALY 6030.,ata Warehousing and SQL.  (3 Hours)
ALY 6040.,ata Mining Applications.  (3 Hours)
ALY 6050.,ntroduction to Enterprise Analytics.  (3 Hours)
ALY 6060.,ecision Support and Business Intelligence.  (3 Hours)
ALY 6070.,ommunication and Visualization for Data Analytics.  (3 Hours)
ALY 6080.,ntegrated Experiential Learning.  (3 Hours)
ALY 6110.,ata Management and Big Data.  (3 Hours)
ALY 6120.,eadership in Analytics.  (3 Hours)
ALY 6130.,isk Management for Analytics.  (3 Hours)
ALY 6140.,ython and Analytics Systems Technology.  (3 Hours)
ALY 6150.,ealthcare/Pharmaceutical Data and Applications.  (3 Hours)
ALY 6160.,usiness Intelligence in Healthcare/Pharmaceutical.  (3 Hours)
ALY 6980.,apstone.  (3 Hours)
ALY 6983.,opics.  (3 Hours)
ALY 6995.,roject.  (1-4 Hours)
ANTH 1000.,Anthropology at Northeastern.  (1 Hour)
ANTH 1101.,Peoples and Cultures.  (4 Hours)
ANTH 1990.,Elective.  (1-4 Hours)
ANTH 2300.,Reading Culture through Ethnography.  (4 Hours)
ANTH 2302.,Gender and Sexuality: A Cross-Cultural Perspective.  (4 Hours)
ANTH 2305.,Global Markets and Local Culture.  (4 Hours)
ANTH 2315.,Religion and Modernity.  (4 Hours)
ANTH 2485.,"Environment, Technology, and Society.  (4 Hours)"
ANTH 2990.,Elective.  (1-4 Hours)
ANTH 2991.,Research Practicum.  (2-4 Hours)
ANTH 3100.,"Gender, Social Justice, and Transnational Activism.  (4 Hours)"
ANTH 3200.,Cities in Global Context.  (4 Hours)
ANTH 3410.,Ethnographic Field Experience.  (4 Hours)
ANTH 3417.,Political Anthropology.  (4 Hours)
ANTH 3418.,Wired/Unwired: Cybercultures and Technopolitics.  (4 Hours)
ANTH 3421.,Foundations of Anthropological Theory.  (4 Hours)
ANTH 3441.,Medical Anthropology.  (4 Hours)
ANTH 3442.,Anthropology of Law.  (4 Hours)
ANTH 3990.,Elective.  (1-4 Hours)
ANTH 4100.,Making Anthropology Public.  (4 Hours)
ANTH 4200.,Anthropology of Rural America.  (4 Hours)
ANTH 4210.,Anthropology of Eastern Europe.  (4 Hours)
ANTH 4350.,Ethnography of Southeast Asia.  (4 Hours)
ANTH 4410.,Neoliberalism in Asia.  (4 Hours)
ANTH 4500.,Latin American Society and Development.  (4 Hours)
ANTH 4505.,Native North Americans.  (4 Hours)
ANTH 4510.,Anthropology of Africa.  (4 Hours)
ANTH 4515.,Culture and Politics in Modern India.  (4 Hours)
ANTH 4520.,Chinese Society and Culture.  (4 Hours)
ANTH 4580.,Special Topics in Anthropology.  (4 Hours)
ANTH 4600.,Senior Seminar.  (4 Hours)
ANTH 4970.,Junior/Senior Honors Project 1.  (4 Hours)
ANTH 4971.,Junior/Senior Honors Project 2.  (4 Hours)
ANTH 4990.,Elective.  (1-4 Hours)
ANTH 4992.,Directed Study.  (1-4 Hours)
ANT 1150.,ultural Anthropology.  (3 Hours)
ANT 1990.,lective.  (1-4 Hours)
ANT 2990.,lective.  (1-4 Hours)
ANT 3990.,lective.  (1-4 Hours)
ANT 4955.,roject.  (1-4 Hours)
ANT 4990.,lective.  (1-4 Hours)
APL 1990.,lective.  (1-4 Hours)
APL 2990.,lective.  (1-4 Hours)
APL 3990.,lective.  (1-4 Hours)
APL 4990.,lective.  (1-4 Hours)
APL 6000.,oundations of Applied Logistics Execution.  (3 Hours)
APL 6010.,arehouse Management.  (3 Hours)
APL 6020.,reight Management.  (3 Hours)
APL 6030.,RP Systems for Inventory Management.  (3 Hours)
APL 6050.,upplier Management.  (3 Hours)
APL 6100.,dvanced Technology in Logistics and Distribution.  (3 Hours)
APL 6962.,lective.  (1-4 Hours)
APL 6980.,pplied Logistics Capstone.  (3 Hours)
APL 6983.,pecial Topics.  (3 Hours)
ARAB 1101.,Elementary Arabic 1.  (4 Hours)
ARAB 1102.,Elementary Arabic 2.  (4 Hours)
ARAB 1990.,Elective.  (1-4 Hours)
ARAB 2101.,Intermediate Arabic 1.  (4 Hours)
ARAB 2102.,Intermediate Arabic 2.  (4 Hours)
ARAB 2990.,Elective.  (1-4 Hours)
ARAB 3101.,Advanced Arabic 1.  (4 Hours)
ARAB 3990.,Elective.  (1-4 Hours)
ARAB 4990.,Elective.  (1-4 Hours)
ARAB 4992.,Directed Study.  (1-4 Hours)
ARAB 5976.,Directed Study.  (1 Hour)
ARCH 1000.,Architecture at Northeastern.  (1 Hour)
ARCH 1110.,Fundamental Architectural Representation.  (4 Hours)
ARCH 1120.,Fundamental Architectural Design.  (6 Hours)
ARCH 1310.,"Buildings and Cities, A Global History.  (4 Hours)"
ARCH 1311.,Recitation for ARCH 1310.  (0 Hours)
ARCH 1370.,Special Topics in Architectural History.  (4 Hours)
ARCH 1450.,Understanding Design.  (4 Hours)
ARCH 1990.,Elective.  (1-4 Hours)
ARCH 2130.,"Site, Space, Program.  (6 Hours)"
ARCH 2140.,Urban Housing.  (6 Hours)
ARCH 2240.,Architectonic Systems.  (4 Hours)
ARCH 2260.,Introduction to Building Systems.  (4 Hours)
ARCH 2310.,History of Chinese Architecture.  (4 Hours)
ARCH 2320.,Modern Chinese Architecture.  (4 Hours)
ARCH 2330.,Architecture and the City in the Nineteenth Century.  (4 Hours)
ARCH 2331.,Recitation for ARCH 2330.  (0 Hours)
ARCH 2340.,Modern Architecture.  (4 Hours)
ARCH 2341.,Recitation for ARCH 2340.  (0 Hours)
ARCH 2345.,Contemporary Architecture.  (4 Hours)
ARCH 2350.,American Architecture.  (4 Hours)
ARCH 2355.,"Architecture Conservation: Intervention, Transformation, and Reuse.  (4 Hours)"
ARCH 2370.,Topics in Architectural History.  (4 Hours)
ARCH 2990.,Elective.  (1-4 Hours)
ARCH 2991.,Research in Architecture.  (1-4 Hours)
ARCH 3170.,"Architecture, Infrastructure, and the City.  (6 Hours)"
ARCH 3210.,Environmental Systems.  (4 Hours)
ARCH 3211.,Recitation for ARCH 3210.  (0 Hours)
ARCH 3351.,Architecture Topics Abroad: Theory.  (1-4 Hours)
ARCH 3352.,Architecture Topics Abroad: Drawing.  (4 Hours)
ARCH 3370.,Advanced Topics in Architectural History.  (4 Hours)
ARCH 3450.,Advanced Architectural Communication.  (4 Hours)
ARCH 3990.,Elective.  (1-4 Hours)
ARCH 4850.,Urban and Architectural History Abroad.  (4 Hours)
ARCH 4960.,Architectural Studies Capstone.  (4 Hours)
ARCH 4970.,Junior/Senior Honors Project 1.  (1-4 Hours)
ARCH 4990.,Elective.  (1-4 Hours)
ARCH 4996.,Experiential Education Directed Study.  (4 Hours)
ARCH 5115.,Option Studio.  (6 Hours)
ARCH 5120.,Comprehensive Design Studio.  (6 Hours)
ARCH 5140.,Capstone Studio.  (6 Hours)
ARCH 5210.,Environmental Systems.  (4 Hours)
ARCH 5211.,Recitation for ARCH 5210.  (0 Hours)
ARCH 5220.,Integrated Building Systems.  (4 Hours)
ARCH 5230.,Structural Systems.  (4 Hours)
ARCH 5231.,Recitation for ARCH 5230.  (0 Hours)
ARCH 5310.,Design Tactics and Operations.  (4 Hours)
ARCH 5312.,Mapping and Building Health.  (4 Hours)
ARCH 5330.,Theories of Architecture and Urbanism.  (4 Hours)
ARCH 5430.,Introduction to Professional Practice in Architecture.  (4 Hours)
ARCH 5530.,Innovative Models in Real Estate Development and Design.  (4 Hours)
ARCH 5850.,Architecture Topics Abroad: History.  (4 Hours)
ARCH 6100.,Graduate Skills Studio.  (6 Hours)
ARCH 6200.,Graduate Studio 1: Architectural Design.  (6 Hours)
ARCH 6330.,Seminar in Modern Architecture.  (4 Hours)
ARCH 6340.,Graduate Topics in Architecture.  (4 Hours)
ARCH 6430.,Case Studies 1.  (4 Hours)
ARCH 6440.,Case Studies 2.  (4 Hours)
ARCH 6962.,Elective.  (1-4 Hours)
ARCH 7130.,Master’s Research Studio.  (6 Hours)
ARCH 7140.,Master’s Degree Project.  (6 Hours)
ARCH 7962.,Elective.  (1-4 Hours)
ARCH 7976.,Directed Study.  (1-4 Hours)
ARMY 1101.,Introduction to the Army and Critical Thinking.  (1 Hour)
ARMY 1102.,Introduction to the Profession of Arms.  (1 Hour)
ARMY 1112.,Introduction to the Profession of Arms Lab.  (0 Hours)
ARMY 2201.,Leadership and Decision Making.  (3 Hours)
ARMY 2202.,Army Doctrine and Team Development.  (3 Hours)
ARMY 2212.,Army Doctrine and Team Development Lab.  (0 Hours)
ARMY 3301.,Training Management and the Warfighting Functions.  (4 Hours)
ARMY 3302.,Applied Leadership in Small Unit Operations.  (4 Hours)
ARMY 3312.,Applied Leadership in Small Unit Operations Lab.  (0 Hours)
ARMY 3513.,American Military History Lab.  (0 Hours)
ARMY 4011.,The Army Officer.  (4 Hours)
ARMY 4012.,Mission Command and the Company Grade Officer.  (4 Hours)
ARMY 4411.,The Army Officer Lab.  (0 Hours)
ARMY 4412.,Mission Command and the Company Grade Officer Lab.  (0 Hours)
ART 1145.,merican Cinema.  (3 Hours)
ART 1200.,igital Photography.  (3 Hours)
ART 1990.,lective.  (1-4 Hours)
ART 2000.,ypography: Communicating Content with Form.  (3 Hours)
ART 2100.,oundation in Visual Communication.  (3 Hours)
ART 2200.,undamentals of Graphics and Publishing Production.  (3 Hours)
ART 2990.,lective.  (1-4 Hours)
ART 3990.,lective.  (1-4 Hours)
ART 4950.,eminar.  (1-4 Hours)
ART 4955.,roject.  (1-4 Hours)
ART 4990.,lective.  (1-4 Hours)
ART 4995.,racticum.  (1-4 Hours)
ART 6962.,lective.  (1-4 Hours)
ARTG 1001.,Design Perspectives: An Introduction to Design in the World.  (2 Hours)
ARTG 1002.,Seminar for Design Perspectives.  (2 Hours)
ARTG 1250.,Design Process Context and Systems.  (4 Hours)
ARTG 1270.,Design: Process + Practices.  (2 Hours)
ARTG 1271.,Studio for Design: Process + Practices.  (2 Hours)
ARTG 1290.,Typographic Systems.  (2 Hours)
ARTG 1291.,Studio for Typographic Systems.  (2 Hours)
ARTG 1990.,Elective.  (1-4 Hours)
ARTG 2242.,Information Design Principles.  (4 Hours)
ARTG 2250.,Typography 1.  (4 Hours)
ARTG 2251.,Type Tools.  (1 Hour)
ARTG 2252.,Graphic Design Principles.  (4 Hours)
ARTG 2260.,Programming Basics.  (4 Hours)
ARTG 2262.,Prototyping with Code.  (2 Hours)
ARTG 2263.,Lab for ARTG 2262.  (2 Hours)
ARTG 2400.,Interaction Design Principles.  (4 Hours)
ARTG 2401.,Interaction Design Principles Tools.  (1 Hour)
ARTG 2990.,Elective.  (1-4 Hours)
ARTG 3100.,Physical and Digital Fabrication.  (4 Hours)
ARTG 3250.,Physical Computing.  (4 Hours)
ARTG 3350.,Typography 2.  (4 Hours)
ARTG 3400.,Topics In Interaction Design Inquiry.  (4 Hours)
ARTG 3444.,Topics in Information Design Inquiry.  (4 Hours)
ARTG 3450.,Graphic Design 2.  (4 Hours)
ARTG 3451.,Information Design 1.  (4 Hours)
ARTG 3452.,Topics In Graphic Design Inquiry.  (4 Hours)
ARTG 3460.,Identity and Brand Design.  (4 Hours)
ARTG 3462.,Experience Design Principles.  (4 Hours)
ARTG 3463.,Experience Design 2.  (4 Hours)
ARTG 3464.,Topics In Experience Design Inquiry.  (4 Hours)
ARTG 3700.,Interaction Design 2: Mobile.  (4 Hours)
ARTG 3990.,Elective.  (1-4 Hours)
ARTG 4550.,Design Degree Project.  (4 Hours)
ARTG 4554.,Typography 3.  (4 Hours)
ARTG 4555.,Graphic Design Synthesis.  (4 Hours)
ARTG 4990.,Elective.  (1-4 Hours)
ARTG 5000.,Topics in Design.  (1-4 Hours)
ARTG 5100.,Information Design Studio 1: Principles.  (4 Hours)
ARTG 5110.,Information Design History.  (4 Hours)
ARTG 5120.,Research Methods for Design.  (4 Hours)
ARTG 5130.,Visual Communication for Information Design.  (4 Hours)
ARTG 5150.,Information Visualization Principles and Practices.  (3 Hours)
ARTG 5151.,Information Design Critique Seminar.  (1 Hour)
ARTG 5310.,Visual Cognition.  (4 Hours)
ARTG 5320.,Statistics for Design.  (4 Hours)
ARTG 5330.,Visualization Technologies 1: Fundamentals.  (4 Hours)
ARTG 5430.,Visualization Technologies 2: Advanced Practices.  (4 Hours)
ARTG 5600.,Experience Design Studio 1: Principles.  (4 Hours)
ARTG 5610.,Design Systems.  (4 Hours)
ARTG 5620.,Notational Systems for Experience.  (4 Hours)
ARTG 5640.,Prototyping for Experience Design.  (4 Hours)
ARTG 5710.,Design for Dignity.  (4 Hours)
ARTG 6100.,Information Design Studio 2: Dynamic Mapping and Models.  (4 Hours)
ARTG 6110.,Information Design Theory and Critical Thinking.  (4 Hours)
ARTG 6200.,Information Design Studio 3: Synthesis.  (4 Hours)
ARTG 6310.,Design for Behavior and Experience.  (4 Hours)
ARTG 6330.,Information Design Mapping Strategies.  (4 Hours)
ARTG 6555.,Graphic Design Synthesis.  (4 Hours)
ARTG 6600.,Experience Design Studio 2: Group and Interpersonal.  (4 Hours)
ARTG 6700.,Design Studio 3: Synthesis.  (4 Hours)
ARTG 6900.,Special Topics in Design.  (4 Hours)
ARTG 7100.,Critical Design and Research Seminar.  (4 Hours)
ARTG 7890.,Thesis.  (4 Hours)
ARTG 7910.,Design Project and Exhibition.  (4 Hours)
ARTG 7986.,Research.  (0 Hours)
ARTG 7990.,"Thesis.  (4,8 Hours)"
ARTG 7996.,Thesis Continuation - Half-Time.  (0 Hours)
ARTF 1000.,Art and Design at Northeastern.  (1 Hour)
ARTF 1120.,Observational Drawing.  (4 Hours)
ARTF 1121.,Conceptual Drawing.  (4 Hours)
ARTF 1122.,Color and Composition.  (4 Hours)
ARTF 1123.,Color and Composition Tools.  (1 Hour)
ARTF 1124.,Form and Structure.  (4 Hours)
ARTF 1125.,Form and Structure Tools.  (1 Hour)
ARTF 1990.,Elective.  (1-4 Hours)
ARTF 2220.,Movement and Time.  (4 Hours)
ARTF 2221.,Movement and Time Tools.  (1 Hour)
ARTF 2223.,Experience and Interaction.  (4 Hours)
ARTF 2224.,Experience and Interaction Tools.  (1 Hour)
ARTF 2990.,Elective.  (1-4 Hours)
ARTF 3990.,Elective.  (1-4 Hours)
ARTF 4990.,Elective.  (1-4 Hours)
ARTE 1990.,Elective.  (1-4 Hours)
ARTE 2301.,The Graphic Novel.  (4 Hours)
ARTE 2500.,Art and Design Abroad: Studio.  (4 Hours)
ARTE 2501.,Art and Design Abroad: History.  (4 Hours)
ARTE 2990.,Elective.  (1-4 Hours)
ARTE 2991.,Research in Art and Design.  (1-4 Hours)
ARTE 3901.,Art and Design Special Topics.  (4 Hours)
ARTE 3990.,Elective.  (1-4 Hours)
ARTE 4901.,Special Topics in Art and Design Studio.  (4 Hours)
ARTE 4970.,Junior/Senior Honors Project 1.  (1-4 Hours)
ARTE 4990.,Elective.  (1-4 Hours)
ARTE 4992.,Directed Study.  (1-4 Hours)
ARTE 4994.,Internship.  (4 Hours)
ARTE 4996.,Experiential Education Directed Study.  (4 Hours)
ARTE 5901.,Special Topics in Art and Design Studio.  (4 Hours)
ARTE 6962.,Elective.  (1-4 Hours)
ARTE 6964.,Co-op Work Experience.  (0 Hours)
ARTE 6976.,Directed Study.  (1-4 Hours)
ARTE 6984.,Research.  (1-4 Hours)
ARTE 7986.,Research.  (0 Hours)
ARTE 7990.,Thesis.  (4 Hours)
ARTE 7996.,Thesis Continuation - Half-Time.  (0 Hours)
ARTH 1001.,Visual Intelligence.  (2 Hours)
ARTH 1002.,Seminar in Visual Intelligence.  (2 Hours)
ARTH 1100.,Interactive Media and Society.  (4 Hours)
ARTH 1110.,Global Art and Design History: Ancient to Medieval.  (4 Hours)
ARTH 1111.,Global Art and Design History: Renaissance to Modern.  (4 Hours)
ARTH 1400.,"The Science of Art, the Art of Science.  (4 Hours)"
ARTH 1990.,Elective.  (1-4 Hours)
ARTH 2200.,Topics in Design History.  (4 Hours)
ARTH 2210.,Modern Art and Design History.  (4 Hours)
ARTH 2211.,Contemporary Art and Design History.  (4 Hours)
ARTH 2212.,Survey of the Still and Moving Image.  (4 Hours)
ARTH 2215.,History of Graphic Design.  (4 Hours)
ARTH 2313.,Global Networks in Early Modern Art and Visual Culture.  (4 Hours)
ARTH 2990.,Elective.  (1-4 Hours)
ARTH 3000.,Topics in Visual Studies.  (4 Hours)
ARTH 3211.,Performance Art.  (4 Hours)
ARTH 3990.,Elective.  (1-4 Hours)
ARTH 4000.,Topics in Visual Studies.  (4 Hours)
ARTH 4990.,Elective.  (1-4 Hours)
